.	PUNCT	.
ϧⲉⲣϧⲉⲣ	V	ϧⲉⲣϧⲉⲣ
ϧⲉⲣⲉⲃ	N	ϧⲉⲣⲉⲃ
ϧⲉⲧϧⲉⲧ	V	ϧⲟⲧϧⲉⲧ
ϧⲉⲧϧⲱⲧ	V	ϧⲟⲧϧⲉⲧ
ϧⲉⲧϧⲱⲧ	VSTAT	ϧⲟⲧϧⲉⲧ
ϧⲉⲧⲉⲃ	V	ϧⲱⲧⲉⲃ
ϧⲏϧ	VSTAT	ϧⲱϧ
ϧⲏⲃⲓ	N	ϧⲏⲓⲃⲓ
ϧⲏⲃⲓ	N	ϩⲏⲃⲓ
ϧⲏⲃⲥ	N	ϧⲏⲃⲥ
ϧⲏⲓⲃⲓ	N	ϧⲏⲓⲃⲓ
ϧⲏⲓⲃⲓ	N	ϩⲏⲃⲓ
ϧⲏⲕ	VSTAT	ϧⲱⲕ
ϧⲏⲕ	VSTAT	ϩⲱⲕⲓ
ϧⲏⲙ	V	ϧⲙⲟⲙ
ϧⲏⲙ	VSTAT	ϧⲙⲟⲙ
ϧⲏⲧ	N	ϧⲏⲧ
ϧⲑⲁⲓ	V	ϧⲑⲁⲓ
ϧⲓϯ	V	ϧⲓϯ
ϧⲓⲣ	N	ϧⲓⲣ
ϧⲓⲥⲓ	N	ϧⲓⲥⲓ
ϧⲓⲥⲓ	V	ϧⲓⲥⲓ
ϧⲙⲟⲙ	N	ϧⲙⲟⲙ
ϧⲙⲟⲙ	V	ϧⲙⲟⲙ
ϧⲛⲧ	V	ϩⲱⲛⲧ
ϧⲟⲑⲃ	V	ϧⲱⲧⲉⲃ
ϧⲟⲑⲃⲉ	V	ϧⲱⲧⲉⲃ
ϧⲟⲕ	V	ϧⲟⲕ
ϧⲟⲕ	V	ϧⲱⲕ
ϧⲟⲕ	V	ϩⲱⲕⲓ
ϧⲟⲗϧⲉⲗ	V	ϧⲟⲗϧⲉⲗ
ϧⲟⲙϧⲉⲙ	V	ϧⲟⲙϧⲉⲙ
ϧⲟⲙϧⲉⲙ	V	ϩⲟⲙϩⲉⲙ
ϧⲟⲛⲧ	V	ϩⲱⲛⲧ
ϧⲟⲥⲓ	VSTAT	ϧⲓⲥⲓ
ϧⲟⲧ	VSTAT	ϧⲑⲁⲓ
ϧⲟⲧϧⲉⲧ	V	ϧⲟⲧϧⲉⲧ
ϧⲟⲩⲛ	N	ϧⲟⲩⲛ
ϧⲣⲁϫⲣⲉϫ	V	ϧⲣⲁϫⲣⲉϫ
ϧⲣⲉ	N	ϧⲣⲉ
ϧⲣⲏⲓ	N	ϧⲣⲏⲓ
ϧⲣⲏⲟⲩⲓ	N	ϧⲣⲉ
ϧⲣⲟϯ	N	ϧⲣⲟϯ
ϧⲣⲱⲟⲩ	N	ϧⲣⲱⲟⲩ
ϧⲱϧ	V	ϧⲱϧ
ϧⲱⲕ	V	ϧⲱⲕ
ϧⲱⲕ	V	ϩⲱⲕⲓ
ϧⲱⲕⲓ	V	ϩⲱⲕⲓ
ϧⲱⲗ	V	ϩⲱⲗ
ϧⲱⲛϫ	V	ϧⲱⲛϫ
ϧⲱⲛⲧ	V	ϧⲱⲛⲧ
ϧⲱⲛⲧ	V	ϩⲱⲛⲧ
ϧⲱⲧⲉⲃ	V	ϧⲱⲧⲉⲃ
ϩϥⲟⲧ	N	ϩϥⲟⲧ
ϩϥⲟⲩⲣ	N	ϩϥⲟⲩⲣ
ϩϥⲱ	N	ϩⲟϥ
ϩϥⲱⲧ	N	ϩϥⲟⲧ
ϩϯⲧ	N	ϩϯⲧ
ϩⲁ	PREP	ϩⲁ
ϩⲁϩ	N	ϩⲁϩ
ϩⲁϫⲁⲣ	N	ϩⲁⲣⲁϫ
ϩⲁϫⲓ	N	ϩⲁϫⲓ
ϩⲁⲅⲓⲁⲍⲉ	V	ϩⲁⲅⲓⲁⲍⲉ
ϩⲁⲅⲓⲁⲥⲙⲟⲥ	N	ϩⲁⲅⲓⲁⲥⲙⲟⲥ
ϩⲁⲅⲓⲟⲥ	N	ϩⲁⲅⲓⲟⲥ
ϩⲁⲅⲓⲱⲥⲩⲛⲏ	N	ϩⲁⲅⲓⲱⲥⲩⲛⲏ
ϩⲁⲅⲓⲱⲧⲁⲧⲟⲥ	N	ϩⲁⲅⲓⲱⲧⲁⲧⲟⲥ
ϩⲁⲅⲛⲟⲛ	N	ϩⲁⲅⲛⲟⲛ
ϩⲁⲑⲏⲣ	N	ϩⲁⲑⲏⲣ
ϩⲁⲑⲱⲣ	N	ϩⲁⲑⲱⲣ
ϩⲁⲓ	N	ϩⲁⲓ
ϩⲁⲓⲣⲉⲥⲓⲥ	N	ϩⲁⲓⲣⲉⲥⲓⲥ
ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ	N	ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ
ϩⲁⲗ	N	ϩⲁⲗ
ϩⲁⲗⲁϯ	N	ϩⲁⲗⲏⲧ
ϩⲁⲗⲁⲕ	N	ϩⲁⲗⲁⲕ
ϩⲁⲗⲁⲕⲙⲓ	N	ϩⲓⲗⲁⲕⲙⲓ
ϩⲁⲗⲁⲥⲥⲁ	N	ϩⲁⲗⲁⲥⲥⲁ
ϩⲁⲗⲉ	N	ϩⲁⲗⲉ
ϩⲁⲗⲏ	N	ϩⲁⲗⲏ
ϩⲁⲗⲏⲥⲓⲥ	N	ϩⲁⲗⲏⲥⲓⲥ
ϩⲁⲗⲏⲧ	N	ϩⲁⲗⲏⲧ
ϩⲁⲗⲓⲉⲩⲥ	N	ϩⲁⲗⲓⲉⲩⲥ
ϩⲁⲗⲕⲟⲩ	N	ϩⲁⲗⲕⲟⲩ
ϩⲁⲗⲗⲟⲩⲥ	N	ϩⲁⲗⲗⲟⲩⲥ
ϩⲁⲗⲙⲏ	N	ϩⲁⲗⲙⲏ
ϩⲁⲗⲙⲓ	N	ϩⲁⲗⲙⲓ
ϩⲁⲗⲩⲥⲓⲥ	N	ϩⲁⲗⲩⲥⲓⲥ
ϩⲁⲗⲱⲙ	N	ϩⲁⲗⲱⲙ
ϩⲁⲙ	N	ϩⲁⲙ
ϩⲁⲙⲁ	CONJ	ϩⲁⲙⲁ
ϩⲁⲙⲏⲛ	N	ϩⲁⲙⲏⲛ
ϩⲁⲙⲏⲛ	PTC	ϩⲁⲙⲏⲛ
ϩⲁⲛ	ART	ⲟⲩ
ϩⲁⲛⲁⲧⲟⲟⲩⲓ	N	ϩⲁⲛⲁⲧⲟⲟⲩⲓ
ϩⲁⲡ	N	ϩⲁⲡ
ϩⲁⲡⲓ	N	ϩⲁⲡⲓ
ϩⲁⲡⲗⲟⲩⲛ	N	ϩⲁⲡⲗⲟⲩⲛ
ϩⲁⲡⲗⲟⲩⲥ	N	ϩⲁⲡⲗⲟⲩⲥ
ϩⲁⲡⲗⲱⲥ	ADV	ϩⲁⲡⲗⲱⲥ
ϩⲁⲣⲁϫ	N	ϩⲁⲣⲁϫ
ϩⲁⲣⲙⲁ	N	ϩⲁⲣⲙⲁ
ϩⲁⲣⲙⲉⲛⲓⲟⲥ	N	ϩⲁⲣⲙⲉⲛⲓⲟⲥ
ϩⲁⲣⲙⲟⲍⲉ	V	ϩⲁⲣⲙⲟⲍⲉ
ϩⲁⲣⲙⲟⲛⲓⲁ	N	ϩⲁⲣⲙⲟⲛⲓⲁ
ϩⲁⲣⲙⲟⲥ	N	ϩⲁⲣⲙⲟⲥ
ϩⲁⲣⲟ	PREP	ϩⲁ
ϩⲁⲣⲡⲁⲍⲉ	V	ϩⲁⲣⲡⲁⲍⲉ
ϩⲁⲧ	N	ϩⲁⲧ
ϩⲃⲏⲟⲩⲓ	N	ϩⲱⲃ
ϩⲃⲟⲥ	N	ϩⲃⲟⲥ
ϩⲃⲟⲩⲓ	N	ϩⲓϥⲟⲩⲓ
ϩⲃⲟⲩⲓ	N	ϩⲟϥ
ϩⲃⲥ	V	ϩⲱⲃⲥ
ϩⲉ	N	ϩⲉ
ϩⲉϫϩⲉϫ	V	ϩⲟϫϩⲉϫ
ϩⲉϫϩⲟϫ	VSTAT	ϩⲟϫϩⲉϫ
ϩⲉϫϩⲱϫ	V	ϩⲟϫϩⲉϫ
ϩⲉϫϩⲱϫ	VSTAT	ϩⲟϫϩⲉϫ
ϩⲉⲃ	N	ϩⲱⲃ
ϩⲉⲃⲇⲟⲙⲁⲥ	N	ϩⲉⲃⲇⲟⲙⲁⲥ
ϩⲉⲃⲓ	N	ϩⲉⲃⲓ
ϩⲉⲃⲓ	N	ⲉⲃⲓ
ϩⲉⲃⲓ	V	ϩⲉⲃⲓ
ϩⲉⲃⲣⲁⲓⲁ	N	ϩⲉⲃⲣⲁⲓⲁ
ϩⲉⲃⲣⲁⲓⲟⲥ	N	ϩⲉⲃⲣⲁⲓⲟⲥ
ϩⲉⲑⲛⲓⲕⲟⲥ	N	ϩⲉⲑⲛⲓⲕⲟⲥ
ϩⲉⲑⲛⲟⲥ	N	ⲉⲑⲛⲟⲥ
ϩⲉⲑⲟⲥ	N	ϩⲉⲑⲟⲥ
ϩⲉⲓ	V	ϩⲉⲓ
ϩⲉⲓⲙⲁⲣⲙⲉⲛⲏ	N	ϩⲉⲓⲙⲁⲣⲙⲉⲛⲏ
ϩⲉⲕⲁⲧⲟⲛⲧⲁⲣⲭⲟⲥ	N	ϩⲉⲕⲁⲧⲟⲛⲧⲁⲣⲭⲟⲥ
ϩⲉⲗ	N	ϩⲉⲗⲓ
ϩⲉⲗϩⲉⲗ	V	ϩⲉⲗϩⲉⲗ
ϩⲉⲗⲉⲙ	V	ϩⲱⲗⲉⲙ
ϩⲉⲗⲓ	N	ϩⲉⲗⲓ
ϩⲉⲗⲗⲏⲛ	N	ϩⲉⲗⲗⲏⲛ
ϩⲉⲗⲗⲏⲛⲟⲥ	N	ϩⲉⲗⲗⲏⲛⲟⲥ
ϩⲉⲗⲟⲥ	N	ϩⲉⲗⲟⲥ
ϩⲉⲗⲡⲓⲍⲉ	V	ϩⲉⲗⲡⲓⲍⲉ
ϩⲉⲗⲡⲓⲥ	N	ϩⲉⲗⲡⲓⲥ
ϩⲉⲙ	V	ϩⲱⲙⲓ
ϩⲉⲙϩⲉⲙ	V	ϩⲉⲙϩⲉⲙ
ϩⲉⲙϩⲉⲙ	V	ϩⲟⲙϩⲉⲙ
ϩⲉⲙϩⲱⲙ	V	ϩⲟⲙϩⲉⲙ
ϩⲉⲙⲏⲣⲁ	N	ϩⲉⲙⲏⲣⲁ
ϩⲉⲙⲓ	N	ϩⲉⲙⲓ
ϩⲉⲙⲓ	N	ϩⲏⲙⲓ
ϩⲉⲙⲕⲓ	N	ϩⲉⲙⲕⲓ
ϩⲉⲙⲥⲓ	V	ϩⲉⲙⲥⲓ
ϩⲉⲛ	V	ϩⲉⲛ
ϩⲉⲛϩⲉⲛ	V	ϩⲟⲛϩⲉⲛ
ϩⲉⲛϩⲱⲛ	V	ϩⲟⲛϩⲉⲛ
ϩⲉⲛⲛⲁⲥ	N	ϩⲉⲛⲛⲁⲥ
ϩⲉⲝⲓⲥ	N	ϩⲉⲝⲓⲥ
ϩⲉⲡ	V	ϩⲱⲡ
ϩⲉⲣϣ	V	ϩⲉⲣϣ
ϩⲉⲣⲓ	V	ϩⲉⲣⲓ
ϩⲉⲣⲙⲉⲛⲉⲩⲉ	V	ϩⲉⲣⲙⲉⲛⲉⲩⲉ
ϩⲉⲣⲙⲉⲛⲉⲩⲧⲏⲥ	N	ϩⲉⲣⲙⲉⲛⲉⲩⲧⲏⲥ
ϩⲉⲣⲙⲏⲛⲉⲓⲁ	N	ϩⲉⲣⲙⲏⲛⲉⲓⲁ
ϩⲉⲣⲙⲏⲛⲉⲩⲉ	V	ϩⲉⲣⲙⲏⲛⲉⲩⲉ
ϩⲉⲣⲙⲏⲥ	NPROP	ϩⲉⲣⲙⲏⲥ
ϩⲉⲧⲁⲍⲉ	V	ϩⲉⲧⲁⲍⲉ
ϩⲉⲧⲁⲓⲣⲁ	N	ϩⲉⲧⲁⲓⲣⲁ
ϩⲉⲧⲟⲓⲙⲟⲥ	N	ϩⲉⲧⲟⲓⲙⲟⲥ
ϩⲉⲧⲡ	V	ϩⲱⲧⲡ
ϩⲉⲩⲣⲉⲙⲁ	N	ϩⲉⲩⲣⲉⲙⲁ
ϩⲉⲱⲥ	CONJ	ϩⲉⲱⲥ
ϩⲏ	N	ϩⲏ
ϩⲏϣ	VSTAT	ϩⲱϣ
ϩⲏⲃⲓ	N	ϩⲏⲃⲓ
ϩⲏⲅⲉⲙⲟⲛⲓⲁ	N	ϩⲏⲅⲉⲙⲟⲛⲓⲁ
ϩⲏⲅⲉⲙⲱⲛ	N	ϩⲏⲅⲉⲙⲱⲛ
ϩⲏⲅⲉⲙⲱⲛⲓⲕⲟⲛ	N	ϩⲏⲅⲉⲙⲱⲛⲓⲕⲟⲛ
ϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ	N	ϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ
ϩⲏⲇⲁⲛⲏ	V	ϩⲏⲇⲁⲛⲏ
ϩⲏⲇⲟⲛⲏ	N	ϩⲏⲇⲟⲛⲏ
ϩⲏⲓ	V	ϩⲉⲓ
ϩⲏⲓⲃⲓ	N	ϩⲏⲃⲓ
ϩⲏⲗ	VSTAT	ϩⲱⲗ
ϩⲏⲗⲉⲓⲁⲥ	NPROP	ϩⲏⲗⲉⲓⲁⲥ
ϩⲏⲗⲓϭⲓⲁ	N	ϩⲏⲗⲓϭⲓⲁ
ϩⲏⲗⲓⲕⲓⲁ	N	ϩⲏⲗⲓⲕⲓⲁ
ϩⲏⲗⲓⲟⲥ	N	ϩⲏⲗⲓⲟⲥ
ϩⲏⲙⲏ	N	ϩⲏⲙⲓ
ϩⲏⲙⲏ	N	ϩⲙⲏ
ϩⲏⲙⲓ	N	ϩⲏⲙⲓ
ϩⲏⲟⲩ	N	ϩⲏⲟⲩ
ϩⲏⲡ	VSTAT	ϩⲱⲡ
ϩⲏⲡⲁⲣ	N	ϩⲏⲡⲁⲣ
ϩⲏⲡⲡⲉ	PTC	ϩⲏⲡⲡⲉ
ϩⲏⲣⲱⲇⲏⲥ	NPROP	ϩⲏⲣⲱⲇⲏⲥ
ϩⲏⲣⲱⲇⲓⲁⲛⲟⲥ	N	ϩⲏⲣⲱⲇⲓⲁⲛⲟⲥ
ϩⲏⲣⲱⲇⲓⲁⲥ	N	ϩⲏⲣⲱⲇⲓⲁⲥ
ϩⲏⲣⲱⲇⲓⲁⲥ	NPROP	ϩⲏⲣⲱⲇⲓⲁⲥ
ϩⲏⲧ	N	ϩⲏⲧ
ϩⲑⲏ	N	ϩⲏⲧ
ϩⲑⲟ	N	ϩⲑⲟ
ϩⲑⲟⲣ	N	ϩⲑⲟ
ϩⲑⲟⲣⲓ	N	ϩⲑⲟ
ϩⲑⲱⲣ	N	ϩⲁⲑⲱⲣ
ϩⲑⲱⲣ	N	ϩⲑⲟ
ϩⲓ	PREP	ϩⲓ
ϩⲓ	V	ϩⲓⲟⲩⲓ
ϩⲓϣⲛⲉ	V	ϩⲓϣⲛⲉ
ϩⲓϥⲟⲩⲓ	N	ϩⲓϥⲟⲩⲓ
ϩⲓϫⲉⲛ	PREP	ϩⲓϫⲉⲛ
ϩⲓϫⲱ	PREP	ϩⲓϫⲉⲛ
ϩⲓϯ	V	ϧⲓϯ
ϩⲓⲁⲧⲣⲟⲥ	N	ϩⲓⲁⲧⲣⲟⲥ
ϩⲓⲇⲉⲙⲱⲛ	V	ϩⲓⲇⲉⲙⲱⲛ
ϩⲓⲇⲓⲱⲧⲏⲥ	N	ϩⲓⲇⲓⲱⲧⲏⲥ
ϩⲓⲉ	N	ϩⲓⲉ
ϩⲓⲉⲃⲓ	N	ϩⲓⲏⲃ
ϩⲓⲉⲣⲁ	N	ϩⲓⲉⲣⲁ
ϩⲓⲉⲣⲉⲩⲥ	N	ϩⲓⲉⲣⲉⲩⲥ
ϩⲓⲉⲣⲓⲭⲱ	N	ϩⲓⲉⲣⲓⲭⲱ
ϩⲓⲉⲣⲟⲛ	N	ϩⲓⲉⲣⲟⲛ
ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	NPROP	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ
ϩⲓⲉⲣⲟⲫⲁⲛⲧⲏⲥ	N	ϩⲓⲉⲣⲟⲫⲁⲛⲧⲏⲥ
ϩⲓⲉⲩ	N	ϩⲓⲉ
ϩⲓⲏ	N	ϩⲓⲉ
ϩⲓⲏⲃ	N	ϩⲓⲏⲃ
ϩⲓⲏⲟⲩ	N	ϩⲓⲉ
ϩⲓⲏⲣⲡ	V	ϩⲓⲏⲣⲡ
ϩⲓⲕ	N	ϩⲓⲕ
ϩⲓⲕⲁⲛⲟⲥ	N	ϩⲓⲕⲁⲛⲟⲥ
ϩⲓⲕⲱⲛ	N	ϩⲓⲕⲱⲛ
ϩⲓⲗⲁⲕⲙⲓ	N	ϩⲓⲗⲁⲕⲙⲓ
ϩⲓⲗⲓⲕⲣⲓⲛⲏⲥ	N	ϩⲓⲗⲓⲕⲣⲓⲛⲏⲥ
ϩⲓⲙⲁⲣⲙⲉⲛⲏ	N	ϩⲓⲙⲁⲣⲙⲉⲛⲏ
ϩⲓⲙⲉⲣⲟⲥ	N	ϩⲓⲙⲉⲣⲟⲥ
ϩⲓⲙⲏ	N	ϩⲏⲙⲓ
ϩⲓⲙⲏⲣ	NPROP	ϩⲓⲙⲏⲣ
ϩⲓⲛ	N	ϩⲓⲛ
ϩⲓⲛⲁ	CONJ	ϩⲓⲛⲁ
ϩⲓⲛⲓ	V	ϩⲓⲛⲓ
ϩⲓⲛⲓⲙ	V	ϩⲓⲛⲓⲙ
ϩⲓⲟⲓ	V	ϩⲓⲟⲓ
ϩⲓⲟⲙⲓ	N	ⲥϩⲓⲙⲓ
ϩⲓⲟⲩⲓ	V	ϩⲓⲟⲩⲓ
ϩⲓⲡⲟⲩⲓ	N	ϩⲓϥⲟⲩⲓ
ϩⲓⲡⲡⲉⲩⲥ	N	ϩⲓⲡⲡⲉⲩⲥ
ϩⲓⲡⲡⲓⲕⲟⲥ	N	ϩⲓⲡⲡⲓⲕⲟⲥ
ϩⲓⲣ	VSTAT	ϩⲓⲣ
ϩⲓⲣⲉⲛ	PREP	ϩⲓⲣⲉⲛ
ϩⲓⲥⲁⲅⲅⲉⲗⲟⲥ	V	ϩⲓⲥⲁⲅⲅⲉⲗⲟⲥ
ϩⲓⲥⲓ	V	ϩⲓⲥⲓ
ϩⲓⲥⲓⲟⲛ	N	ϩⲓⲥⲓⲟⲛ
ϩⲓⲥⲟⲛ	N	ϩⲓⲥⲟⲛ
ϩⲓⲥⲟⲥ	N	ϩⲓⲥⲟⲥ
ϩⲓⲥⲧⲟⲣⲓⲍⲉ	V	ϩⲓⲥⲧⲟⲣⲓⲍⲉ
ϩⲓⲧ	N	ϩⲓⲧ
ϩⲓⲧ	V	ϩⲓⲟⲩⲓ
ϩⲓⲧⲁⲗⲓⲕⲏ	N	ϩⲓⲧⲁⲗⲓⲕⲏ
ϩⲓⲧⲉⲛ	PREP	ϩⲓⲧⲉⲛ
ϩⲓⲧⲟⲧ	PREP	ϩⲓⲧⲉⲛ
ϩⲓⲱⲓϣ	N	ϩⲓⲱⲓϣ
ϩⲓⲱⲓϣ	V	ϩⲓⲱⲓϣ
ϩⲓⲱⲟⲩⲧ	VSTAT	ϩⲉⲓ
ϩⲓⲱⲧ	PREP	ϩⲓ
ϩⲓⲱⲧ	PREP	ϩⲓⲱⲧ
ϩⲕⲟ	V	ϩⲕⲟ
ϩⲗⲓ	N	ϩⲗⲓ
ϩⲗⲓϫⲓ	N	ϩⲗⲓϫⲓ
ϩⲗⲟϫ	V	ϩⲗⲟϫ
ϩⲗⲟⲗ	N	ϩⲗⲟⲗ
ϩⲗⲟⲗⲓ	V	ϩⲗⲟⲗⲓ
ϩⲗⲟⲩⲗ	N	ϩⲗⲟⲩⲗ
ϩⲗⲟⲩⲗⲱⲟⲩ	VSTAT	ϩⲗⲟⲩⲗⲱⲟⲩ
ϩⲗⲱⲓⲗⲓ	V	ϩⲗⲱⲓⲗⲓ
ϩⲙⲏ	N	ϩⲙⲏ
ϩⲙⲏϯ	N	ⲙⲏϯ
ϩⲙⲟⲧ	N	ϩⲙⲟⲧ
ϩⲙⲟⲩ	N	ϩⲙⲟⲩ
ϩⲙⲱⲧ	N	ϩⲙⲟⲧ
ϩⲛⲁⲩ	N	ϩⲛⲁⲩ
ϩⲛⲓⲙ	V	ϩⲓⲛⲓⲙ
ϩⲛⲧⲟⲩ	N	ϩⲉⲛⲧⲟⲩ
ϩⲛⲧⲟⲩ	N	ϩⲛⲧⲟⲩ
ϩⲟ	N	ϩⲟ
ϩⲟϥ	N	ϩⲟϥ
ϩⲟϥⲧ	V	ⲱϥⲧ
ϩⲟϫϩⲉϫ	N	ϩⲟϫϩⲉϫ
ϩⲟϫϩⲉϫ	V	ϩⲟϫϩⲉϫ
ϩⲟϫⲡ	V	ϩⲟϫⲡ
ϩⲟϭⲡ	V	ϩⲟϭⲡ
ϩⲟϯ	N	ϩⲟϯ
ϩⲟⲃⲟⲗⲟⲥ	N	ϩⲟⲃⲟⲗⲟⲥ
ϩⲟⲃⲥ	V	ϩⲱⲃⲥ
ϩⲟⲃⲥ	VSTAT	ϩⲱⲃⲥ
ϩⲟⲇⲟⲥ	N	ϩⲟⲇⲟⲥ
ϩⲟⲓ	N	ϩⲟⲓ
ϩⲟⲓⲟⲛ	N	ϩⲟⲓⲟⲛ
ϩⲟⲕⲉⲣ	VSTAT	ϩⲕⲟ
ϩⲟⲕⲗⲉϥ	N	ϩⲟⲕⲗⲉϥ
ϩⲟⲗϫ	VSTAT	ϩⲗⲟϫ
ϩⲟⲗϫⲓ	V	ϩⲱⲗϫ
ϩⲟⲗⲓ	N	ϩⲟⲗⲓ
ϩⲟⲗⲓⲅⲟⲛ	N	ϩⲟⲗⲓⲅⲟⲛ
ϩⲟⲗⲕ	VSTAT	ϩⲱⲗⲕ
ϩⲟⲗⲕⲓ	N	ϩⲟⲗⲕⲓ
ϩⲟⲗⲙ	V	ϩⲱⲗⲉⲙ
ϩⲟⲗⲟⲕⲁⲩⲧⲱⲙⲁ	N	ϩⲟⲗⲟⲕⲁⲩⲧⲱⲙⲁ
ϩⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ	N	ϩⲟⲗⲟⲕⲟⲧⲧⲓⲛⲟⲥ
ϩⲟⲗⲟⲛ	N	ϩⲟⲗⲟⲛ
ϩⲟⲗⲟⲥⲏⲣⲓⲕⲕⲟⲛ	N	ϩⲟⲗⲟⲥⲏⲣⲓⲕⲕⲟⲛ
ϩⲟⲗⲱⲥ	ADV	ϩⲟⲗⲱⲥ
ϩⲟⲙ	N	ϩⲟⲙ
ϩⲟⲙ	V	ϩⲱⲙⲓ
ϩⲟⲙϩⲉⲙ	V	ϩⲟⲙϩⲉⲙ
ϩⲟⲙϫ	VSTAT	ϩⲟⲙϫ
ϩⲟⲙⲃⲉ	N	ϩⲟⲙⲃⲉ
ϩⲟⲙⲏⲣⲟⲥ	N	ϩⲟⲙⲏⲣⲟⲥ
ϩⲟⲙⲓ	VSTAT	ϩⲱⲙⲓ
ϩⲟⲙⲓⲗⲓⲁ	N	ϩⲟⲙⲓⲗⲓⲁ
ϩⲟⲙⲟⲗⲟⲅⲉⲓ	V	ϩⲟⲙⲟⲗⲟⲅⲉⲓ
ϩⲟⲙⲟⲗⲟⲅⲉⲓⲁ	N	ϩⲟⲙⲟⲗⲟⲅⲉⲓⲁ
ϩⲟⲙⲟⲗⲟⲅⲏⲧⲏⲥ	N	ϩⲟⲙⲟⲗⲟⲅⲏⲧⲏⲥ
ϩⲟⲙⲟⲗⲟⲅⲓⲁ	N	ϩⲟⲙⲟⲗⲟⲅⲓⲁ
ϩⲟⲙⲟⲛⲟⲓ	V	ϩⲟⲙⲟⲛⲟⲓ
ϩⲟⲙⲟⲛⲟⲓⲁ	N	ϩⲟⲙⲟⲛⲟⲓⲁ
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ	N	ϩⲟⲙⲟⲟⲩⲥⲓⲟⲛ
ϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ	N	ϩⲟⲙⲟⲟⲩⲥⲓⲟⲥ
ϩⲟⲙⲧ	N	ϩⲟⲙⲧ
ϩⲟⲙⲱⲥ	ADV	ϩⲟⲙⲱⲥ
ϩⲟⲛϩⲉⲛ	V	ϩⲟⲛϩⲉⲛ
ϩⲟⲛⲧ	N	ϩⲟⲛⲧ
ϩⲟⲟⲩⲓ	VSTAT	ϩⲓⲟⲩⲓ
ϩⲟⲡ	N	ϩⲟⲡ
ϩⲟⲡ	V	ϩⲱⲡ
ϩⲟⲡⲗⲟⲛ	N	ϩⲟⲡⲗⲟⲛ
ϩⲟⲡⲟⲧⲉ	CONJ	ϩⲟⲡⲟⲧⲉ
ϩⲟⲡⲟⲩ	ADV	ϩⲟⲡⲟⲩ
ϩⲟⲡⲥ	V	ϩⲱⲃⲥ
ϩⲟⲡⲥ	VSTAT	ϩⲱⲃⲥ
ϩⲟⲡⲧ	V	ϩⲱⲧⲡ
ϩⲟⲡⲧ	VSTAT	ⲱⲧⲡ
ϩⲟⲡⲱⲥ	ADV	ϩⲟⲡⲱⲥ
ϩⲟⲣϣ	VSTAT	ϩⲣⲟϣ
ϩⲟⲣϫ	V	ϩⲟⲣϫ
ϩⲟⲣⲁⲥⲓⲥ	N	ϩⲟⲣⲁⲥⲓⲥ
ϩⲟⲣⲓⲍⲉ	V	ϩⲟⲣⲓⲍⲉ
ϩⲟⲣⲙⲁⲕⲏ	N	ϩⲟⲣⲙⲁⲕⲏ
ϩⲟⲣⲙⲏ	N	ϩⲟⲣⲙⲏ
ϩⲟⲣⲙⲓⲥⲕⲟⲥ	N	ϩⲟⲣⲙⲓⲥⲕⲟⲥ
ϩⲟⲣⲟⲙⲁ	N	ϩⲟⲣⲟⲙⲁ
ϩⲟⲣⲟⲥ	N	ϩⲟⲣⲟⲥ
ϩⲟⲣⲡ	V	ϩⲱⲣⲡ
ϩⲟⲣⲡ	VSTAT	ϩⲱⲣⲡ
ϩⲟⲣⲧ	V	ϩⲟⲣⲧ
ϩⲟⲣⲧϥ	N	ϩⲟⲣⲧϥ
ϩⲟⲥ	N	ϩⲟⲥ
ϩⲟⲥ	N	ϩⲱⲥ
ϩⲟⲥⲉⲙ	N	ϩⲟⲥⲉⲙ
ϩⲟⲥⲓⲱⲧⲁⲧⲟⲥ	N	ϩⲟⲥⲓⲱⲧⲁⲧⲟⲥ
ϩⲟⲥⲟⲛ	ADV	ϩⲟⲥⲟⲛ
ϩⲟⲥⲟⲛ	N	ϩⲟⲥⲟⲛ
ϩⲟⲧ	N	ϩⲟⲧ
ϩⲟⲧⲁⲛ	CONJ	ϩⲟⲧⲁⲛ
ϩⲟⲧⲉ	CONJ	ϩⲟⲧⲉ
ϩⲟⲧⲉ	N	ϩⲟⲧⲉ
ϩⲟⲧⲉⲣ	VSTAT	ϩⲟⲧⲉⲣ
ϩⲟⲧⲓ	CONJ	ϩⲟⲧⲓ
ϩⲟⲧⲡ	V	ϩⲱⲧⲡ
ϩⲟⲧⲡ	VSTAT	ϩⲱⲧⲡ
ϩⲟⲧⲡ	VSTAT	ⲱⲧⲡ
ϩⲟⲩϥ	N	ϩⲟⲩϥ
ϩⲟⲩⲁϯ	N	ϩⲟⲩⲓⲧ
